Anonymised Name,Data Centre Type (Derived),Cleansed Voltage Level,Datetime (Local),Overall Data Centre Half Hourly Utilisation
Data Centre #8,Enterprise,Extra-High Voltage Import,2024-01-28T14:00:00+00:00,0.16999999999999998
Data Centre #26,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,43.01
Data Centre #48,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,12.0
Data Centre #5,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,20.01
Data Centre #2,Co-located,Extra-High Voltage Import,2024-01-28T14:00:00+00:00,4.36
Data Centre #75,Co-located,Low Voltage Import,2024-01-28T14:00:00+00:00,39.67
Data Centre #50,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,18.15
Data Centre #23,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,23.66
Data Centre #42,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,18.7
Data Centre #57,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,58.989999999999995
Data Centre #9,Co-located,Extra-High Voltage Import,2024-01-28T14:00:00+00:00,0.0
Data Centre #61,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,5.140000000000001
Data Centre #74,Enterprise,Low Voltage Import,2024-01-28T14:00:00+00:00,4.33
Data Centre #53,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,38.25
Data Centre #63,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,6.6000000000000005
Data Centre #44,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,28.64
Data Centre #14,Enterprise,High Voltage Import,2024-01-28T14:00:00+00:00,34.18
Data Centre #68,Co-located,Low Voltage Import,2024-01-28T14:00:00+00:00,31.740000000000002
Data Centre #24,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,18.099999999999998
Data Centre #43,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,23.9
Data Centre #25,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,1.96
Data Centre #79,Co-located,Low Voltage Import,2024-01-28T14:00:00+00:00,7.31
Data Centre #56,Co-located,High Voltage Import,2024-01-28T14:00:00+00:00,17.71
Data Centre #34,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,21.36
Data Centre #40,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,0.0
Data Centre #42,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,18.73
Data Centre #7,Co-located,Extra-High Voltage Import,2024-01-28T14:30:00+00:00,35.14
Data Centre #58,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,8.01
Data Centre #23,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,23.64
Data Centre #1,Enterprise,Extra-High Voltage Import,2024-01-28T14:30:00+00:00,2.1
Data Centre #59,Enterprise,High Voltage Import,2024-01-28T14:30:00+00:00,46.32
Data Centre #54,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,0.13
Data Centre #67,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,28.000000000000004
Data Centre #38,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,0.0
Data Centre #12,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,53.779999999999994
Data Centre #26,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,42.35
Data Centre #57,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,66.36999999999999
Data Centre #39,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,0.0
Data Centre #21,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,16.49
Data Centre #71,Co-located,Low Voltage Import,2024-01-28T14:30:00+00:00,30.31
Data Centre #3,Co-located,Extra-High Voltage Import,2024-01-28T14:30:00+00:00,25.85
Data Centre #13,Enterprise,High Voltage Import,2024-01-28T14:30:00+00:00,6.79
Data Centre #13,Enterprise,High Voltage Import,2024-01-28T14:30:00+00:00,20.32
Data Centre #47,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,12.94
Data Centre #43,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,23.87
Data Centre #53,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,38.51
Data Centre #22,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,36.01
Data Centre #36,Enterprise,High Voltage Import,2024-01-28T14:30:00+00:00,24.81
Data Centre #74,Enterprise,Low Voltage Import,2024-01-28T14:30:00+00:00,3.8699999999999997
Data Centre #41,Co-located,High Voltage Import,2024-01-28T14:30:00+00:00,0.0
Data Centre #56,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,16.86
Data Centre #37,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,0.0
Data Centre #40,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,0.0
Data Centre #84,Co-located,Low Voltage Import,2024-01-28T15:00:00+00:00,10.8
Data Centre #72,Co-located,Low Voltage Import,2024-01-28T15:00:00+00:00,56.18
Data Centre #61,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,5.1499999999999995
Data Centre #48,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,4.12
Data Centre #70,Co-located,Low Voltage Import,2024-01-28T15:00:00+00:00,24.2
Data Centre #29,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,20.23
Data Centre #65,Co-located,Low Voltage Import,2024-01-28T15:00:00+00:00,2.08
Data Centre #38,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,0.0
Data Centre #21,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,16.28
Data Centre #26,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,42.33
Data Centre #20,Enterprise,High Voltage Import,2024-01-28T15:00:00+00:00,18.42
Data Centre #29,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,9.26
Data Centre #59,Enterprise,High Voltage Import,2024-01-28T15:00:00+00:00,46.53
Data Centre #79,Co-located,Low Voltage Import,2024-01-28T15:00:00+00:00,8.91
Data Centre #66,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,24.959999999999997
Data Centre #55,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,28.99
Data Centre #76,Co-located,Low Voltage Import,2024-01-28T15:00:00+00:00,20.8
Data Centre #44,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,28.46
Data Centre #32,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,56.720000000000006
Data Centre #3,Co-located,Extra-High Voltage Import,2024-01-28T15:00:00+00:00,25.89
Data Centre #62,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,31.89
Data Centre #53,Co-located,High Voltage Import,2024-01-28T15:00:00+00:00,38.59
Data Centre #29,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,9.229999999999999
Data Centre #11,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,0.48
Data Centre #80,Co-located,Low Voltage Import,2024-01-28T15:30:00+00:00,16.88
Data Centre #10,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,0.43
Data Centre #2,Co-located,Extra-High Voltage Import,2024-01-28T15:30:00+00:00,4.390000000000001
Data Centre #36,Enterprise,High Voltage Import,2024-01-28T15:30:00+00:00,25.480000000000004
Data Centre #16,Co-located,Extra-High Voltage Import,2024-01-28T15:30:00+00:00,0.0
Data Centre #59,Enterprise,High Voltage Import,2024-01-28T15:30:00+00:00,45.800000000000004
Data Centre #18,Co-located,Extra-High Voltage Import,2024-01-28T15:30:00+00:00,28.07
Data Centre #42,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,18.66
Data Centre #37,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,0.0
Data Centre #13,Enterprise,High Voltage Import,2024-01-28T15:30:00+00:00,6.74
Data Centre #44,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,28.53
Data Centre #8,Enterprise,Extra-High Voltage Import,2024-01-28T15:30:00+00:00,0.16999999999999998
Data Centre #25,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,1.96
Data Centre #71,Co-located,Low Voltage Import,2024-01-28T15:30:00+00:00,30.18
Data Centre #68,Co-located,Low Voltage Import,2024-01-28T15:30:00+00:00,31.06
Data Centre #32,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,56.56
Data Centre #58,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,8.24
Data Centre #61,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,5.12
Data Centre #53,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,38.76
Data Centre #35,Enterprise,High Voltage Import,2024-01-28T15:30:00+00:00,0.88
Data Centre #15,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,27.83
Data Centre #6,Co-located,Extra-High Voltage Import,2024-01-28T15:30:00+00:00,5.71
Data Centre #67,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,28.26
Data Centre #24,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,18.22
Data Centre #21,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,16.25
Data Centre #38,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,0.0
Data Centre #52,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,1.9300000000000002
Data Centre #57,Co-located,High Voltage Import,2024-01-28T15:30:00+00:00,67.36999999999999
Data Centre #22,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,35.8
Data Centre #52,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,2.37
Data Centre #27,Enterprise,High Voltage Import,2024-01-28T16:00:00+00:00,46.08
Data Centre #50,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,18.22
Data Centre #72,Co-located,Low Voltage Import,2024-01-28T16:00:00+00:00,56.25
Data Centre #48,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,4.09
Data Centre #78,Co-located,Low Voltage Import,2024-01-28T16:00:00+00:00,7.779999999999999
Data Centre #21,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,16.49
Data Centre #80,Co-located,Low Voltage Import,2024-01-28T16:00:00+00:00,16.88
Data Centre #10,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,0.43
Data Centre #8,Enterprise,Extra-High Voltage Import,2024-01-28T16:00:00+00:00,0.16999999999999998
Data Centre #62,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,32.32
Data Centre #47,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,12.9
Data Centre #66,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,24.4
Data Centre #77,Enterprise,Low Voltage Import,2024-01-28T16:00:00+00:00,16.96
Data Centre #40,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,0.0
Data Centre #4,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,3.91
Data Centre #11,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,0.49
Data Centre #39,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,0.0
Data Centre #33,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,24.94
Data Centre #15,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,0.0
Data Centre #43,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,23.87
Data Centre #36,Enterprise,High Voltage Import,2024-01-28T16:00:00+00:00,25.45
Data Centre #4,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,14.21
Data Centre #34,Co-located,High Voltage Import,2024-01-28T16:00:00+00:00,20.76
Data Centre #35,Enterprise,High Voltage Import,2024-01-28T16:30:00+00:00,0.8999999999999999
Data Centre #60,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,30.48
Data Centre #66,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,25.52
Data Centre #51,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,1.3299999999999998
Data Centre #59,Enterprise,High Voltage Import,2024-01-28T16:30:00+00:00,46.489999999999995
Data Centre #55,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,29.020000000000003
Data Centre #41,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,0.0
Data Centre #6,Co-located,Extra-High Voltage Import,2024-01-28T16:30:00+00:00,5.6899999999999995
Data Centre #45,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,30.220000000000002
Data Centre #1,Enterprise,Extra-High Voltage Import,2024-01-28T16:30:00+00:00,2.1
Data Centre #61,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,5.06
Data Centre #37,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,0.0
Data Centre #65,Co-located,Low Voltage Import,2024-01-28T16:30:00+00:00,2.22
Data Centre #24,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,18.14
Data Centre #32,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,56.16
Data Centre #64,Enterprise,Low Voltage Import,2024-01-28T16:30:00+00:00,14.14
Data Centre #10,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,10.86
Data Centre #33,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,25.009999999999998
Data Centre #27,Enterprise,High Voltage Import,2024-01-28T16:30:00+00:00,45.839999999999996
Data Centre #26,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,41.949999999999996
Data Centre #81,Co-located,Low Voltage Import,2024-01-28T16:30:00+00:00,31.71
Data Centre #5,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,19.74
Data Centre #43,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,23.9
Data Centre #4,Co-located,High Voltage Import,2024-01-28T16:30:00+00:00,3.8699999999999997
Data Centre #8,Enterprise,Extra-High Voltage Import,2024-01-28T17:00:00+00:00,0.18
Data Centre #57,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,58.77
Data Centre #48,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,11.97
Data Centre #30,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,32.78
Data Centre #46,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,12.58
Data Centre #15,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,0.0
Data Centre #38,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,0.0
Data Centre #37,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,0.0
Data Centre #41,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,0.0
Data Centre #3,Co-located,Extra-High Voltage Import,2024-01-28T17:00:00+00:00,25.759999999999998
Data Centre #9,Co-located,Extra-High Voltage Import,2024-01-28T17:00:00+00:00,0.0
Data Centre #10,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,0.43
Data Centre #13,Enterprise,High Voltage Import,2024-01-28T17:00:00+00:00,6.710000000000001
Data Centre #72,Co-located,Low Voltage Import,2024-01-28T17:00:00+00:00,56.279999999999994
Data Centre #70,Co-located,Low Voltage Import,2024-01-28T17:00:00+00:00,23.599999999999998
Data Centre #58,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,8.39
Data Centre #11,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,0.48
Data Centre #54,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,0.13
Data Centre #34,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,20.919999999999998
Data Centre #76,Co-located,Low Voltage Import,2024-01-28T17:00:00+00:00,20.669999999999998
Data Centre #7,Co-located,Extra-High Voltage Import,2024-01-28T17:00:00+00:00,35.49
Data Centre #11,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,29.92
Data Centre #59,Enterprise,High Voltage Import,2024-01-28T17:00:00+00:00,45.73
Data Centre #39,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,0.0
Data Centre #73,Co-located,Low Voltage Import,2024-01-28T17:00:00+00:00,3.5000000000000004
Data Centre #22,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,35.92
Data Centre #71,Co-located,Low Voltage Import,2024-01-28T17:00:00+00:00,30.130000000000003
Data Centre #49,Enterprise,High Voltage Import,2024-01-28T17:00:00+00:00,63.470000000000006
Data Centre #5,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,19.63
Data Centre #23,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,23.44
Data Centre #4,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,14.180000000000001
Data Centre #13,Enterprise,High Voltage Import,2024-01-28T17:00:00+00:00,20.06
Data Centre #51,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,1.39
Data Centre #62,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,32.379999999999995
Data Centre #36,Enterprise,High Voltage Import,2024-01-28T17:00:00+00:00,25.019999999999996
Data Centre #33,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,24.51
Data Centre #10,Co-located,High Voltage Import,2024-01-28T17:00:00+00:00,10.89
Data Centre #64,Enterprise,Low Voltage Import,2024-01-28T17:00:00+00:00,13.900000000000002
Data Centre #6,Co-located,Extra-High Voltage Import,2024-01-28T17:00:00+00:00,5.72
Data Centre #63,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,6.63
Data Centre #1,Enterprise,Extra-High Voltage Import,2024-01-28T17:30:00+00:00,2.11
Data Centre #48,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,11.97
Data Centre #69,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,67.78
Data Centre #49,Enterprise,High Voltage Import,2024-01-28T17:30:00+00:00,62.6
Data Centre #11,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,29.73
Data Centre #79,Co-located,Low Voltage Import,2024-01-28T17:30:00+00:00,7.89
Data Centre #15,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,0.0
Data Centre #10,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,0.43
Data Centre #2,Co-located,Extra-High Voltage Import,2024-01-28T17:30:00+00:00,4.44
Data Centre #4,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,14.14
Data Centre #59,Enterprise,High Voltage Import,2024-01-28T17:30:00+00:00,45.839999999999996
Data Centre #56,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,16.76
Data Centre #18,Co-located,Extra-High Voltage Import,2024-01-28T17:30:00+00:00,27.839999999999996
Data Centre #75,Co-located,Low Voltage Import,2024-01-28T17:30:00+00:00,39.0
Data Centre #77,Enterprise,Low Voltage Import,2024-01-28T17:30:00+00:00,16.88
Data Centre #34,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,20.84
Data Centre #12,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,53.059999999999995
Data Centre #78,Co-located,Low Voltage Import,2024-01-28T17:30:00+00:00,7.779999999999999
Data Centre #5,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,19.71
Data Centre #65,Co-located,Low Voltage Import,2024-01-28T17:30:00+00:00,2.26
Data Centre #4,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,3.85
Data Centre #55,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,29.23
Data Centre #61,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,5.140000000000001
Data Centre #7,Co-located,Extra-High Voltage Import,2024-01-28T17:30:00+00:00,34.88
Data Centre #10,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,10.85
Data Centre #60,Co-located,High Voltage Import,2024-01-28T17:30:00+00:00,30.11
Data Centre #61,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,5.08
Data Centre #16,Co-located,Extra-High Voltage Import,2024-01-28T18:00:00+00:00,0.0
Data Centre #48,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,12.030000000000001
Data Centre #29,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,20.18
Data Centre #64,Enterprise,Low Voltage Import,2024-01-28T18:00:00+00:00,13.34
Data Centre #2,Co-located,Extra-High Voltage Import,2024-01-28T18:00:00+00:00,4.46
Data Centre #52,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,2.19
Data Centre #84,Co-located,Low Voltage Import,2024-01-28T18:00:00+00:00,10.8
Data Centre #79,Co-located,Low Voltage Import,2024-01-28T18:00:00+00:00,8.690000000000001
Data Centre #34,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,21.04
Data Centre #17,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,14.44
Data Centre #70,Co-located,Low Voltage Import,2024-01-28T18:00:00+00:00,23.599999999999998
Data Centre #45,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,30.54
Data Centre #41,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,0.0
Data Centre #67,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,28.18
Data Centre #8,Enterprise,Extra-High Voltage Import,2024-01-28T18:00:00+00:00,0.19
Data Centre #56,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,15.620000000000001
Data Centre #57,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,67.36999999999999
Data Centre #17,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,20.880000000000003
Data Centre #13,Enterprise,High Voltage Import,2024-01-28T18:00:00+00:00,20.11
Data Centre #71,Co-located,Low Voltage Import,2024-01-28T18:00:00+00:00,30.09
Data Centre #77,Enterprise,Low Voltage Import,2024-01-28T18:00:00+00:00,18.32
Data Centre #43,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,23.97
Data Centre #25,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,1.9900000000000002
Data Centre #27,Enterprise,High Voltage Import,2024-01-28T18:00:00+00:00,45.51
Data Centre #72,Co-located,Low Voltage Import,2024-01-28T18:00:00+00:00,56.39999999999999
Data Centre #13,Enterprise,High Voltage Import,2024-01-28T18:00:00+00:00,6.7299999999999995
Data Centre #4,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,3.82
Data Centre #81,Co-located,Low Voltage Import,2024-01-28T18:00:00+00:00,32.0
Data Centre #39,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,0.0
Data Centre #3,Co-located,Extra-High Voltage Import,2024-01-28T18:00:00+00:00,25.569999999999997
Data Centre #40,Co-located,High Voltage Import,2024-01-28T18:00:00+00:00,0.0
Data Centre #4,Co-located,High Voltage Import,2024-01-28T18:30:00+00:00,14.16
Data Centre #17,Co-located,High Voltage Import,2024-01-28T18:30:00+00:00,14.08
Data Centre #10,Co-located,High Voltage Import,2024-01-28T18:30:00+00:00,0.43
Data Centre #64,Enterprise,Low Voltage Import,2024-01-28T18:30:00+00:00,13.719999999999999
Data Centre #45,Co-located,High Voltage Import,2024-01-28T18:30:00+00:00,30.2
Data Centre #14,Enterprise,High Voltage Import,2024-01-28T18:30:00+00:00,34.54
Data Centre #30,Co-located,High Voltage Import,2024-01-28T18:30:00+00:00,32.45
Data Centre #29,Co-located,High Voltage Import,2024-01-28T18:30:00+00:00,9.24
Data Centre #46,Co-located,High Voltage Import,2024-01-28T18:30:00+00:00,12.61
